Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
172,1,43.0761,0.02823,39.318,40.247,40.789,41.076,41.518,41.816,42.256,43.076,43.896,44.336,44.635,45.076,45.363,45.905,46.834
173,1,43.1007,0.02822,39.342,40.271,40.813,41.1,41.542,41.84,42.28,43.101,43.921,44.361,44.659,45.101,45.388,45.93,46.859
174,1,43.1252,0.02822,39.364,40.294,40.836,41.123,41.566,41.864,42.304,43.125,43.946,44.387,44.685,45.127,45.414,45.956,46.886
175,1,43.1495,0.02821,39.388,40.318,40.86,41.147,41.59,41.888,42.328,43.15,43.971,44.411,44.709,45.152,45.439,45.981,46.911
176,1,43.1737,0.0282,39.411,40.341,40.884,41.171,41.613,41.912,42.353,43.174,43.995,44.436,44.734,45.176,45.464,46.006,46.936
177,1,43.1978,0.0282,39.433,40.364,40.907,41.194,41.637,41.935,42.376,43.198,44.019,44.46,44.759,45.202,45.489,46.032,46.962
178,1,43.2217,0.02819,39.457,40.387,40.93,41.218,41.66,41.959,42.4,43.222,44.044,44.485,44.783,45.226,45.513,46.056,46.987
179,1,43.2455,0.02819,39.478,40.409,40.953,41.24,41.683,41.982,42.423,43.246,44.068,44.509,44.808,45.251,45.538,46.082,47.013
180,1,43.2691,0.02818,39.501,40.433,40.976,41.263,41.706,42.005,42.447,43.269,44.092,44.533,44.832,45.275,45.562,46.106,47.037
181,1,43.2927,0.02818,39.523,40.455,40.998,41.286,41.729,42.028,42.47,43.293,44.116,44.557,44.856,45.299,45.587,46.131,47.063
182,1,43.316,0.02817,39.545,40.477,41.021,41.309,41.752,42.051,42.493,43.316,44.139,44.581,44.88,45.323,45.611,46.155,47.087
